Symbol,Sector,Relative Sector Weight,Relative Equity Weight,Nominal Equity Weight,Total Weight,Beta,Nominal Weighted Beta,Sector Beta
GOOGL,Comm,46.25%,16.00%,2.96%,7.40%,0.94,0.0278,1.1740
META,Comm,46.25%,7.00%,1.30%,3.24%,1.41,0.0183,1.1740
TSM,Tech,46.25%,19.00%,3.52%,8.79%,1.57,0.0552,1.1740
MSFT,Tech,46.25%,22.00%,4.07%,10.18%,1.01,0.0411,1.1740
CSCO,Tech,46.25%,12.00%,2.22%,5.55%,0.47,0.0104,1.1740
DDOG,Tech,46.25%,12.00%,2.22%,5.55%,1.81,0.0402,1.1740
CAN,Tech,46.25%,12.00%,2.22%,5.55%,1.09,0.0242,1.1740
AMZN,Cons. Disc.,15.91%,65.34%,4.16%,10.39%,1.14,0.0474,1.0098
COST,Cons. Staple,15.91%,21.32%,1.36%,3.39%,1.08,0.0147,1.0098
KO,Cons. Staple,15.91%,13.34%,0.85%,2.12%,0.26,0.0022,1.0098
JPM,Financials,13.94%,37.33%,2.08%,5.20%,1.2,0.0250,1.0400
SCHW,Financials,13.94%,24.00%,1.34%,3.35%,0.97,0.0130,1.0400
BLK,Financials,13.94%,22.00%,1.23%,3.07%,1.33,0.0163,1.0400
BRK.B,Financials,13.94%,16.68%,0.93%,2.32%,0.4,0.0037,1.0400
UNH,Health Care,9.12%,19.07%,0.70%,1.74%,0.1,0.0007,0.6200
NVO,Health Care,9.12%,15.25%,0.56%,1.39%,0.35,0.0019,0.6200
LLY,Health Care,9.12%,15.25%,0.56%,1.39%,0.16,0.0009,0.6200
BSX,Health Care,9.12%,15.25%,0.56%,1.39%,0.4,0.0022,0.6200
TMO,Health Care,9.12%,11.44%,0.42%,1.04%,0.97,0.0040,0.6200
DXCM,Health Care,9.12%,23.73%,0.87%,2.16%,1.48,0.0128,0.6200
GE,Industrials,10.36%,18.00%,0.75%,1.86%,1.37,0.0102,1.2578
STRL,Industrials,10.36%,12.00%,0.50%,1.24%,1.48,0.0074,1.2578
RS,Industrials,10.36%,20.00%,0.83%,2.07%,0.92,0.0076,1.2578
ECL,Materials,10.36%,20.00%,0.83%,2.07%,0.99,0.0082,1.2578
VRT,Industrials,10.36%,10.00%,0.41%,1.04%,2,0.0083,1.2578
Gold,Materials,10.36%,10.00%,0.41%,1.04%,0,0.0000,1.2578
USD,Materials,10.36%,10.00%,0.41%,1.04%,0,0.0000,1.2578
DLR,Real Estate,4.42%,23.20%,0.41%,1.02%,1.12,0.0046,0.9549
VICI,Real Estate,4.42%,46.50%,0.82%,2.05%,0.71,0.0058,0.9549
CCJ,Utilities,4.42%,12.50%,0.22%,0.55%,1.31,0.0029,0.9549
CEG,Utilities,4.42%,17.80%,0.31%,0.79%,1.13,0.0036,0.9549
,,,,,,,,